,PR,PR_ID,PR_TYPE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
0,安徽省,340000,省,0.926665002,0.990347091,1.024513966,1.29091428,1.310355652,1.408325902,1.547148004,1.492640816,1.54895302,1.495337638,1.88780366,2.06049299,2.170156601,2.282031891,2.523939643,2.787857168,3.026682838,2.521428317,3.941083723,4.291435094,4.272785645,5.054250348,4.960639247,5.154746192,5.147511861,7.988542075,8.111511433,9.625191738,8.486123098,9.467592031,15.35981512,
1,澳门特别行政区,820000,特别行政区,46.82692308,52.26923077,51.96153846,47.42307692,52.40384615,55.57692308,52.38461538,53.82692308,53.61538462,54.38461538,54,54.94230769,56.13461538,52.94230769,55.19230769,54.94230769,55.92307692,56.48076923,53.46153846,58.42307692,54.88461538,57.82692308,60.55769231,60.57692308,60.55769231,60.57692308,60.57692308,60.57692308,60.48,60.48,60.26,
2,北京市,110000,直辖市,8.988486141,10.31245812,10.46031069,11.45367042,11.37873896,10.59396893,11.49875114,11.27310387,11.6024368,12.87895218,13.39689309,13.93481572,14.35126409,14.66963143,15.59457813,15.66500152,15.58044472,15.06347853,18.09052696,16.5317088,17.62808407,17.86969235,18.80572647,19.13341456,19.80097472,21.94846177,21.82272312,24.20085288,23.70063422,23.96828882,27.3147335,
3,福建省,350000,省,1.05307643,1.216335523,1.426189713,1.623129306,1.754422368,1.712241628,1.77268066,2.059798109,2.068658869,2.154310207,2.225276398,2.448493831,2.526678417,2.557442718,3.069532126,3.318082038,3.65912514,3.132687069,3.952339369,4.467264861,4.769980772,5.240378145,6.108676494,6.290842814,6.273642045,8.153533088,8.258556321,8.812137478,8.861365129,10.27586041,13.65513044,
4,甘肃省,620000,省,0.153760469,0.179678614,0.178480114,0.196422361,0.208856208,0.20159236,0.211267308,0.207998458,0.236238403,0.260767698,0.288711542,0.317588336,0.331544984,0.34827228,0.380157074,0.372108326,0.427399115,0.431032214,0.602812479,0.604941579,0.747238751,0.85228608,0.641697922,0.627419325,0.618193226,0.908615568,0.927352115,0.988863352,1.046914178,1.221775473,2.791442933,
5,广东省,440000,省,3.396722286,3.802026964,4.313997721,4.314162873,4.472218705,4.645011588,4.660464297,5.066435087,5.240158326,5.401517195,5.566272688,6.335742715,6.452505078,6.159789927,6.739533501,7.010883507,7.266235804,6.814215171,7.584989898,8.755745908,8.115809987,9.023396513,9.373336783,9.477327403,9.301512241,11.44559072,12.0316431,12.70278171,12.97923353,15.034497,18.19043267,
6,广西壮族自治区,450000,自治区,0.403907533,0.43429197,0.500067371,0.549938945,0.593810266,0.626384269,0.687784749,0.723563097,0.749534717,0.781872921,0.85128637,0.998934692,1.006227631,0.998096762,1.148082025,1.301840077,1.448646259,1.397528317,1.601334793,1.739247968,1.759598299,1.98802897,1.777110615,1.85732873,1.840759611,2.515769085,2.648730473,2.892302834,2.869685331,3.579437875,7.18272859,
7,贵州省,520000,省,0.218135348,0.229932127,0.229313038,0.262283816,0.294947889,0.303524267,0.393740948,0.41605089,0.433612586,0.460915003,0.529866811,0.633425155,0.642041292,0.64898191,0.696208787,0.72560134,0.746428876,0.717820123,0.91401471,0.989043819,1.086859966,1.379712038,1.774032318,1.779575725,2.108772328,3.076238889,2.976804021,3.046931531,2.520073148,2.726841624,6.337765006,
8,海南省,460000,省,0.80628132,1.160516655,1.328027441,1.433234183,1.524211485,1.552295201,1.583246242,1.655840502,1.904761905,2.026127502,2.255620763,2.485623174,2.597341694,2.596510974,2.745853096,2.793418549,3.25669266,3.172361122,4.290993381,4.308545703,5.05951711,5.081357022,5.010290216,5.085349841,5.126832275,7.338666024,7.438834847,7.703620334,8.295883661,10.83676585,13.50611961,
9,河北省,130000,省,2.575838912,3.152722817,3.091269799,3.507749923,3.547433136,3.422352242,3.578793537,3.481720578,3.482463213,3.716382521,3.801095917,4.048096203,4.220063867,4.455261567,4.727957012,4.952291028,4.990308618,4.928781337,5.610779872,5.395792444,5.731967239,5.902263975,6.223761126,6.086076661,5.757328213,8.733717735,8.668461367,9.889071601,9.242772052,9.931923899,13.83395478,
